country,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Philippines,4,5,5,5,5,5,5,5,5,5,,5,4,4,4,2,2,2,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3
Palau,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Papua New Guinea,,,,3,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,3,4,4,3,3,4,4,4
Poland,6,6,6,6,6,6,6,6,6,7,,6,6,6,6,5,5,4,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2
North Korea,7,7,7,7,7,7,7,7,7,7,,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Portugal,5,5,5,5,2,2,2,2,2,2,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Paraguay,4,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,6,4,4,3,3,3,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Qatar,6,6,6,6,5,5,5,5,5,5,,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Romania,7,7,7,7,7,7,7,7,7,7,,7,7,7,7,7,7,7,6,5,4,4,4,4,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Russia,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,4,4,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7
Rwanda,7,7,7,7,7,7,6,6,6,6,,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Saudi Arabia,6,6,6,6,6,6,6,6,6,6,,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Sudan,6,6,6,6,6,6,5,5,5,5,,5,6,6,4,4,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Senegal,6,6,6,6,6,5,4,4,4,4,,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,3,3,2,2,2,2,2,2,3,3,3,3,2,2,2,2,2,2,2,3,3
Singapore,5,5,5,5,5,5,5,5,5,4,,4,4,4,4,4,4,4,4,4,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4
Solomon Islands,,,,,,,2,2,2,2,,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,4,4,3,3,3,3,4,4,4,4,4,4,4,4,3,3,3,3,2,2,2
Sierra Leone,4,6,6,6,6,5,5,5,5,5,,5,4,5,5,5,5,6,6,6,7,7,7,7,4,7,3,3,4,4,4,4,4,4,4,3,3,3,3,3,2,3,3,3,3,3,3,3,3
El Salvador,2,2,2,2,3,4,5,5,5,4,,4,3,2,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
San Marino,2,2,2,2,2,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Somalia,7,7,7,7,7,7,7,7,7,7,,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,2,2,2,2,2,2,2,3,3,3,4,4
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,7,7,7,7,7,7,7
Sao Tome and Principe,,,,5,5,6,6,6,6,6,,7,7,7,7,7,6,6,5,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Suriname,,,,2,2,2,2,2,7,7,,7,7,6,6,4,3,3,6,4,3,3,3,3,3,3,3,3,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Slovenia,,,,,,,,,,,,,,,,,,,,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sweden,1,1,1,2,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Eswatini,4,6,6,6,6,6,5,5,5,5,,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Seychelles,,,,,1,6,6,6,6,6,,6,6,6,6,6,6,6,6,6,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
Syria,7,7,6,6,6,5,5,5,5,5,,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Chad,6,6,6,7,7,7,6,6,7,7,,7,7,7,7,6,6,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Togo,7,7,7,7,7,7,7,7,7,7,,7,6,6,6,6,6,6,6,6,6,7,6,6,6,6,6,5,5,5,6,6,6,6,6,5,5,5,5,5,5,4,4,4,4,4,5,5,5
Thailand,7,6,5,2,6,6,5,4,3,3,,3,3,3,3,3,3,2,2,6,3,3,3,3,3,3,2,2,2,2,2,2,2,3,7,6,5,5,5,4,4,4,6,6,6,6,7,6,7
Tajikistan,,,,,,,,,,,,,,,,,,,,5,6,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7
Turkmenistan,,,,,,,,,,,,,,,,,,,,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2
Tonga,4,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,4,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,2,2,2,2,2,2,2,2
Trinidad and Tobago,2,2,2,2,2,2,2,2,2,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Tunisia,6,6,6,6,6,6,6,6,6,5,,5,5,5,6,6,6,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,3,3,3,1,1,1,2,2,2,2
Turkey,3,2,2,2,2,2,2,2,5,5,,4,3,3,3,2,2,3,2,2,2,4,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,5,5,5
Tuvalu,,,,,,,2,2,2,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Taiwan,6,6,6,6,5,5,5,5,5,5,,5,5,5,5,5,5,4,3,3,3,4,3,3,2,2,2,2,1,1,2,2,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
Tanzania,6,6,6,6,6,6,6,6,6,6,,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,4,4,5,5
Uganda,7,7,7,7,7,7,7,6,4,5,,4,4,5,5,5,5,6,6,6,6,6,5,5,4,4,4,5,6,6,6,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6
Ukraine,,,,,,,,,,,,,,,,,,,,3,3,4,3,3,3,3,3,3,4,4,4,4,4,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3
Uruguay,3,5,5,5,6,6,6,6,5,5,,5,5,2,2,2,2,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
United States,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2
Uzbekistan,,,,,,,,,,,,,,,,,,,,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
St. Vincent and the Grenadines,,,,,,,,2,2,2,,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1
Venezuela,2,2,2,2,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,3,3,3,3,2,2,2,4,3,3,3,3,3,4,4,4,4,5,5,5,5,5,5,5,6,6,7,7,7
Vietnam,5.5,5.5,5.5,7,7,7,7,7,7,7,,7,7,7,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Vanuatu,,,,,,,,,2,2,,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Samoa,4,4,4,4,4,4,4,4,4,4,,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Yemen,5.5,6,6,6.5,6.5,6.5,6,6,6,6,,6,5.5,5.5,5.5,5.5,6,6,6,6,6,4,5,5,5,5,5,5,5,6,6,5,5,5,5,5,5,6,6,6,6,6,6,7,7,7,7,7,7
South Africa,3.5,4,4,4,4,5,5,5,5,5,,5,5,5,5,5,5,6,5,5,5,5,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Zambia,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,6,6,6,2,2,3,3,3,5,5,5,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4
Zimbabwe,6,6,6,6,6,6,5,4,3,3,,4,4,4,4,5,6,6,6,5,5,5,5,5,5,5,5,6,6,6,6,6,7,7,7,7,7,6,6,6,6,5,5,5,5,6,5,5,6
